City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Busselton,AU,83.34,clear sky,-33.65,115.3333,Observatory Guest House
15,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Nanakuli,US,78.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
41,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
43,Bambous Virieux,MU,78.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
46,Weligama,LK,77.88,clear sky,5.9667,80.4167,Weligama Bay Resort
47,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
49,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
59,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
60,Butaritari,KI,81.86,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Esperance,AU,75.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
62,Atuona,PF,78.03,few clouds,-9.8,-139.0333,Villa Enata
64,Eydhafushi,MV,81.21,overcast clouds,5.1033,73.0708,Soneva Fushi
65,Thinadhoo,MV,82.22,overcast clouds,0.5333,72.9333,
69,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
70,Rikitea,PF,77.34,light rain,-23.1203,-134.9692,People ThankYou
71,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,Manuk Mangkaw,PH,82.09,overcast clouds,4.8,119.85,
82,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
90,Doka,SD,76.62,overcast clouds,13.5167,35.7667,
92,Arraial Do Cabo,BR,75.27,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Santa Cruz,BO,76.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
99,Soc Trang,VN,75.16,broken clouds,9.6033,105.98,Phu Quy Hotel
100,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
106,Bourail,NC,79.74,broken clouds,-21.5667,165.4833,Motel Allamanda
111,Kavaratti,IN,79.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
115,Dingle,PH,80.11,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
118,Gombong,ID,84.83,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
122,Bandarbeyla,SO,75.54,scattered clouds,9.4942,50.8122,JABIR HOTEL
126,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
129,Punto Fijo,VE,77.31,broken clouds,11.6956,-70.1996,Santa Fe Inn Hotel
131,Faanui,PF,80.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
136,Bengkulu,ID,80.55,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
137,Careiro Da Varzea,BR,81.23,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
141,Sao Joao Da Barra,BR,75.67,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
148,Am Timan,TD,75.02,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
157,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
158,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
164,Kahului,US,78.82,broken clouds,20.8947,-156.47,Maui Seaside Hotel
169,Popondetta,PG,84.58,overcast clouds,-8.7537,148.2534,Timos Transit House
174,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
176,Gamba,GA,76.33,overcast clouds,-2.65,10.0,
186,Acarau,BR,77.99,overcast clouds,-2.8856,-40.12,castelo pizzaria
192,Bria,CF,82.6,overcast clouds,6.5423,21.9863,WFP Guesthouse
194,Tiruchchendur,IN,75.49,scattered clouds,8.4833,78.1167,Hotel Udhayam International
195,Itarema,BR,77.92,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
196,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
201,Biak,ID,82.63,scattered clouds,-0.9131,122.8766,Penginapan Kim
205,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
206,Pouembout,NC,83.28,broken clouds,-21.1333,164.9,Camping de Tipenga
212,Jacqueville,CI,82.31,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
213,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
221,Mount Gambier,AU,78.71,overcast clouds,-37.8333,140.7667,The Commodore
223,Vanimo,PG,84.94,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
