City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severodvinsk,RU,64.5635,39.8302,6.91,76,11,14.58,few clouds
1,Jamestown,US,42.097,-79.2353,18.72,53,0,5.99,clear sky
2,Nanchang,CN,28.6833,115.8833,47.46,59,3,3.02,clear sky
3,Burns Lake,CA,54.2331,-125.7533,29.62,99,100,3.51,overcast clouds
4,Hobart,AU,-42.8794,147.3294,69.03,70,75,1.01,broken clouds
5,Mataura,NZ,-46.1927,168.8643,56.48,93,96,11.68,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,63.72,68,99,4.61,overcast clouds
7,Gravdal,NO,68.1214,13.5031,39.88,97,100,35.97,overcast clouds
8,Busselton,AU,-33.65,115.3333,83.34,37,0,4.72,clear sky
9,Chokurdakh,RU,70.6333,147.9167,-22.05,99,100,3.29,overcast clouds
10,Dera Bugti,PK,29.0307,69.151,51.37,53,5,4.61,clear sky
11,Almaznyy,RU,48.0448,40.045,30.34,92,100,14.7,light snow
12,Albany,US,42.6001,-73.9662,6.62,68,9,3.47,clear sky
13,Tazovskiy,RU,67.4667,78.7,-18.53,100,94,5.97,overcast clouds
14,Tromso,NO,69.6496,18.957,39.85,70,75,5.99,light rain
15,Hilo,US,19.7297,-155.09,80.33,76,20,6.91,few clouds
16,Thompson,CA,55.7435,-97.8558,-12.84,77,0,5.75,clear sky
17,Olafsvik,IS,64.8945,-23.7142,35.2,63,99,42.21,overcast clouds
18,Balma,FR,43.6111,1.4994,37.35,93,0,6.91,clear sky
19,Chifeng,CN,42.2683,118.9636,14.05,44,100,3.76,overcast clouds
20,Griffith,US,41.5284,-87.4237,35.89,74,0,5.99,clear sky
21,Bluff,NZ,-46.6,168.3333,56.8,67,67,24.02,broken clouds
22,Bethel,US,41.3712,-73.414,16.48,69,0,3.44,clear sky
23,Nanakuli,US,21.3906,-158.1547,78.75,60,40,11.5,scattered clouds
